Location,Project Number,time,Parameter,Sign Field,value,Unit,Comment
SW007,20325AD_2018,7/23/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2018,8/16/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2018,9/17/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2018,10/10/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2018,11/8/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2018,12/6/2018,Copper ,<,0.5,?g/L,
SW007,20325AD_2019,1/16/2019,Copper ,,1.2,?g/L,
SW007,20325AD_2019,2/13/2019,Copper ,,0.71,?g/L,
SW007,20325AD_2019,3/11/2019,Copper ,,0.62,?g/L,
SW007,20325AD_2019,4/1/2019,Copper ,<,1,?g/L,
SW007,20325AD_2019,5/16/2019,Copper ,,0.92,?g/L,
SW007,20325AD_2019,6/6/2019,Copper ,,2.6,?g/L,
SW007,20325AD_2019,7/18/2019,Copper ,<,1,?g/L,
SW007,20325AD_2019,8/7/2019,Copper ,<,1,?g/L,
SW003,20325AD_2018,7/23/2018,Copper ,<,0.5,?g/L,
SW003,20325AD_2018,8/16/2018,Copper ,<,0.5,?g/L,
SW003,20325AD_2018,9/17/2018,Copper ,,1.9,?g/L,
SW003,20325AD_2018,10/10/2018,Copper ,,0.97,?g/L,
SW003,20325AD_2018,11/8/2018,Copper ,,1.1,?g/L,
SW003,20325AD_2018,12/5/2018,Copper ,,1.6,?g/L,
SW003,20325AD_2019,1/9/2019,Copper ,,1.7,?g/L,
SW003,20325AD_2019,2/14/2019,Copper ,,0.92,?g/L,
SW003,20325AD_2019,3/12/2019,Copper ,,1.5,?g/L,
SW003,20325AD_2019,4/18/2019,Copper ,<,1,?g/L,
SW003,20325AD_2019,5/16/2019,Copper ,,1.1,?g/L,
SW003,20325AD_2019,6/7/2019,Copper ,,0.67,?g/L,
SW003,20325AD_2019,7/18/2019,Copper ,<,1,?g/L,
SW003,20325AD_2019,8/7/2019,Copper ,,1.9,?g/L,
SW008,20325AD_2018,7/23/2018,Copper ,,0.79,?g/L,
SW008,20325AD_2018,8/16/2018,Copper ,,0.74,?g/L,
SW008,20325AD_2018,9/17/2018,Copper ,,0.98,?g/L,
SW008,20325AD_2018,10/10/2018,Copper ,,0.89,?g/L,
SW008,20325AD_2018,11/8/2018,Copper ,,0.89,?g/L,
SW008,20325AD_2018,12/6/2018,Copper ,,0.84,?g/L,
SW008,20325AD_2019,1/16/2019,Copper ,,1.9,?g/L,
SW008,20325AD_2019,2/13/2019,Copper ,,1.1,?g/L,
SW008,20325AD_2019,3/11/2019,Copper ,,1.7,?g/L,
SW008,20325AD_2019,4/1/2019,Copper ,<,1,?g/L,
SW008,20325AD_2019,5/16/2019,Copper ,,2.5,?g/L,Field duplicate exceeded NTS control limits; average of the results were < 4x the RL
SW008,20325AD_2019,6/6/2019,Copper ,,1.1,?g/L,
SW008,20325AD_2019,7/18/2019,Copper ,<,1,?g/L,
SW008,20325AD_2019,8/7/2019,Copper ,<,1,?g/L,
SW005,20325AD_2018,7/23/2018,Copper ,,0.65,?g/L,
SW005,20325AD_2018,8/16/2018,Copper ,,0.69,?g/L,
SW005,20325AD_2018,9/17/2018,Copper ,,0.94,?g/L,
SW005,20325AD_2018,10/10/2018,Copper ,,1.6,?g/L,
SW005,20325AD_2018,11/8/2018,Copper ,<,0.5,?g/L,
SW005,20325AD_2018,12/5/2018,Copper ,,0.68,?g/L,
SW005,20325AD_2019,1/16/2019,Copper ,,0.68,?g/L,
SW005,20325AD_2019,2/13/2019,Copper ,,0.76,?g/L,The RPD between the sample and field duplicate exceeded NTS control limits.
SW005,20325AD_2019,3/11/2019,Copper ,,0.8,?g/L,
SW005,20325AD_2019,4/1/2019,Copper ,<,1,?g/L,Field duplicate exceeded NTS control limits; results were < 4x RL.
SW005,20325AD_2019,5/16/2019,Copper ,,0.93,?g/L,
SW005,20325AD_2019,6/6/2019,Copper ,,1.2,?g/L,
SW005,20325AD_2019,7/18/2019,Copper ,<,1,?g/L,
SW005,20325AD_2019,8/7/2019,Copper ,<,1,?g/L,
SW006,20325AD_2018,7/23/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2018,8/16/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2018,9/17/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2018,10/10/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2018,11/8/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2018,12/6/2018,Copper ,<,0.5,?g/L,
SW006,20325AD_2019,1/9/2019,Copper ,,0.66,?g/L,
SW006,20325AD_2019,2/13/2019,Copper ,,0.56,?g/L,
SW006,20325AD_2019,3/11/2019,Copper ,,0.56,?g/L,
SW006,20325AD_2019,4/1/2019,Copper ,<,1,?g/L,
SW006,20325AD_2019,5/16/2019,Copper ,,0.74,?g/L,
SW006,20325AD_2019,6/6/2019,Copper ,<,0.5,?g/L,
SW006,20325AD_2019,7/18/2019,Copper ,<,1,?g/L,
SW006,20325AD_2019,8/7/2019,Copper ,<,1,?g/L,
SW020/SD026,20325AD_2018,7/23/2018,Copper ,,0.52,?g/L,
SW020/SD026,20325AD_2018,8/16/2018,Copper ,,0.57,?g/L,
SW020/SD026,20325AD_2018,9/17/2018,Copper ,,0.67,?g/L,
SW020/SD026,20325AD_2018,10/10/2018,Copper ,,0.81,?g/L,
SW020/SD026,20325AD_2018,11/8/2018,Copper ,<,0.5,?g/L,
SW020/SD026,20325AD_2018,12/6/2018,Copper ,,0.67,?g/L,
PM-2a,20325AB_2018,7/25/2018,Copper ,<,0.5,?g/L,
PM-2a,20325AB_2018,8/21/2018,Copper ,<,0.5,?g/L,
PM-2a,20325AB_2018,9/25/2018,Copper ,<,0.5,?g/L,
PM-2a,20325AB_2018,10/24/2018,Copper ,<,0.27,?g/L,
PM-2a,20325AB_2018,11/13/2018,Copper ,<,0.5,?g/L,
SW413,20325AB_2018,7/25/2018,Copper ,,0.67,?g/L,
SW413,20325AB_2018,8/21/2018,Copper ,,0.6,?g/L,
SW413,20325AB_2018,9/21/2018,Copper ,,1.7,?g/L,
SW413,20325AB_2018,10/24/2018,Copper ,,0.822,?g/L,The identification of the analyte is acceptable; t
SW413,20325AB_2018,11/12/2018,Copper ,,0.84,?g/L,
SW413,20325AB_2018,12/17/2018,Copper ,,1.2,?g/L,
SW413,20325AB_2019,1/14/2019,Copper ,,0.86,?g/L,
